,cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,cores,socket,category
1982,Intel Celeron G3900 @ 2.80GHz,6236.0,2212,28.38,1718,22.05,51.0,2,LGA 1151,Desktop
1984,Intel Xeon E5430 @ 2.66GHz,18396.0,2210,9.61,1156,5.03,80.0,4,LGA 771,Server
1985,Intel Celeron G4930T @ 3.00GHz,3360.0,2209,52.6,1742,41.48,35.0,2,LGA 1151,Desktop
1986,Intel Celeron N6211 @ 1.20GHz,4320.0,2207,40.88,1582,29.29,6.5,2,BGA 1493,Mobile/Embedded
1988,Intel Core i3-3220 @ 3.30GHz,3195.2,2203,55.15,1725,43.18,55.0,2,LGA 1155,Desktop
1991,AMD Phenom II X4 960T,2310.4,2196,76.04,1290,44.66,95.0,4,AM3,Desktop
1992,Intel Core i5-4250U @ 1.30GHz,27920.0,2196,6.29,1359,3.89,15.0,2,BGA 1168,Laptop
1995,Intel Core2 Quad Q9500 @ 2.83GHz,3920.8,2192,44.73,1217,24.83,95.0,4,LGA 775,Desktop
1998,Intel Pentium G4400TE @ 2.40GHz,5120.0,2190,34.23,1481,23.13,35.0,2,LGA 1151,Laptop
2000,AMD Athlon II X4 638 Quad-Core,5028.0,2183,34.73,1165,18.54,65.0,4,FM1,Desktop
2004,AMD Phenom II X4 925,1680.0,2173,103.46,1156,55.05,95.0,4,AM3,Desktop
2005,AMD Athlon II X4 640,1599.2,2171,108.6,1203,60.19,95.0,4,AM3,Desktop
2006,Intel Core i5-8200Y @ 1.30GHz,23280.0,2169,7.45,1582,5.44,5.0,2,BGA 1515,Laptop
2007,Intel Core i3-5010U @ 2.10GHz,23988.8,2166,7.22,1241,4.14,15.0,2,BGA 1168,Laptop
2008,AMD A8-3820 APU,3596.0,2165,48.15,1144,25.46,65.0,4,FM1,Desktop
2009,Intel Pentium G3460 @ 3.50GHz,5232.8,2165,33.09,1954,29.88,53.0,2,LGA 1150,Desktop
2010,Intel Xeon L5520 @ 2.27GHz,3920.0,2163,44.13,969,19.78,60.0,4,LGA 1366,Server
2015,Intel Xeon X3350 @ 2.66GHz,4799.2,2158,35.97,1156,19.28,95.0,4,LGA 775,Server
2020,AMD Athlon II X4 641 Quad-Core,986.4,2143,173.83,1192,96.66,100.0,4,FM1,Desktop
2022,Intel Pentium N4200 @ 1.10GHz,18296.8,2140,9.36,857,3.75,6.0,4,BGA 1296,Laptop
2028,Intel Pentium G3440 @ 3.30GHz,4720.0,2129,36.09,1895,32.13,53.0,2,LGA 1150,Desktop
2030,Intel Pentium G3430 @ 3.30GHz,4639.2,2125,36.64,1915,33.02,54.0,2,LGA 1150,Desktop
2033,Intel Core i3-3210 @ 3.20GHz,5600.0,2112,30.17,1695,24.22,55.0,2,LGA 1155,Desktop
2034,Intel Celeron G3930T @ 2.70GHz,7773.6,2109,21.7,1650,16.98,35.0,2,LGA 1151,Desktop
2035,Intel Core2 Quad Q9450 @ 2.66GHz,2856.0,2109,59.06,1126,31.55,95.0,4,LGA 775,Desktop
2037,AMD Athlon II X4 635,1597.6,2108,105.55,1141,57.12,95.0,4,AM3,Desktop
2042,AMD Phenom II X4 820,5596.0,2103,30.07,1138,16.27,95.0,4,AM3,Desktop
2048,AMD Athlon II X4 630,3843.2,2093,43.58,1138,23.69,95.0,4,AM3,Desktop
2049,Intel Core i3-2125 @ 3.30GHz,12160.0,2093,13.77,1550,10.2,65.0,2,LGA 1155,Desktop
2050,Intel Pentium G2140 @ 3.30GHz,3600.0,2092,46.48,1842,40.93,55.0,2,LGA 1155,Desktop
2051,Intel Pentium G3258 @ 3.20GHz,2612.8,2091,64.02,1863,57.06,53.0,2,LGA 1150,Desktop
2052,Intel Pentium G3450 @ 3.40GHz,4637.6,2091,36.06,1836,31.67,53.0,2,LGA 1150,Desktop
2057,AMD Athlon II X4 631 Quad-Core,796.8,2085,209.34,1118,112.22,100.0,4,FM1,Desktop
2061,AMD Opteron 2384,103920.0,2074,1.6,1074,0.83,75.0,4,F (1207),Server
2062,Intel Core M-5Y71 @ 1.20GHz,22480.0,2069,7.36,1334,4.75,4.5,2,BGA 1234,Laptop
2063,Intel Core2 Quad Q9400 @ 2.66GHz,3040.8,2068,54.42,1141,30.01,95.0,4,LGA 775,Desktop
2064,Intel Core i5-3337U @ 1.80GHz,18000.0,2067,9.19,1281,5.69,17.0,2,BGA 1023,Laptop
2065,Intel Xeon E5462 @ 2.80GHz,18080.0,2067,9.15,1130,5.0,80.0,4,LGA 771,Server
2066,Intel Core2 Quad Q6700 @ 2.66GHz,7996.0,2062,20.63,1077,10.78,105.0,4,LGA 775,Desktop
2067,AMD Opteron 3250 HE,7920.0,2061,20.82,1003,10.13,45.0,2,AM3+,Server
2068,Intel Core i5-2450M @ 2.50GHz,5921.6,2060,27.82,1275,17.23,35.0,2,BGA 1023,Laptop
2069,AMD Opteron 4162 EE,1599.2,2058,102.97,382,19.1,35.0,6,F (1207),Server
2071,Intel Atom C2758 @ 2.40GHz,17188.8,2056,9.57,333,1.55,20.0,8,BGA  1283,"Laptop, Mobile/Embedded"
2072,AMD A6-3670 APU,14127.2,2055,11.64,1129,6.4,100.0,4,FM1,Desktop
2073,Intel Xeon X3230 @ 2.66GHz,27996.0,2052,5.86,1091,3.12,95.0,4,LGA 775,Server
2074,Intel Xeon L5420 @ 2.50GHz,2200.0,2051,74.58,1103,40.09,50.0,4,LGA 771,Server
2077,Intel Pentium G3260 @ 3.30GHz,4797.6,2049,34.16,1867,31.13,53.0,2,LGA 1150,Desktop
2078,AMD Phenom II X4 910e,5592.0,2044,29.24,1076,15.39,65.0,4,AM3,Desktop
2079,Intel Core i7-640M @ 2.80GHz,18396.0,2042,8.88,1385,6.02,35.0,2,BGA 1288,Laptop
2080,Intel Core m3-6Y30 @ 0.90GHz,22480.0,2041,7.26,1229,4.37,4.5,2,BGA 1515,Laptop
2081,AMD A6-3650 APU,10240.0,2037,15.91,1096,8.56,100.0,4,FM1,Desktop
2082,Intel Core2 Quad Q8400 @ 2.66GHz,10310.4,2036,15.8,1154,8.95,95.0,4,LGA 775,Desktop
2083,Intel Celeron G3900E @ 2.40GHz,8560.0,2034,19.01,1499,14.01,35.0,2,BGA 1440,Laptop
2085,Intel Core i3-2102 @ 3.10GHz,4640.0,2029,34.98,1400,24.15,65.0,2,LGA 1155,Desktop
2086,Intel Xeon E7- 2830 @ 2.13GHz,142320.0,2027,1.14,559,0.31,105.0,4,LGA 1567,Server
2087,AMD Phenom II X4 830,1520.8,2022,106.38,1083,56.96,95.0,4,AM2+/AM3,Unknown
2088,Intel Core i7-920XM @ 2.00GHz,31916.0,2021,5.07,1016,2.55,55.0,4,PGA988B,Laptop
2089,Intel Core2 Quad Q9505 @ 2.83GHz,15200.0,2020,10.63,1190,6.26,95.0,4,LGA 775,Desktop
2090,Intel Core i3-5005U @ 2.00GHz,24640.0,2018,6.55,1150,3.74,15.0,2,BGA 1168,Laptop
2091,Intel Core i5-655K @ 3.20GHz,6239.2,2017,25.87,1446,18.54,73.0,2,LGA 1156,Desktop
2095,Intel Core i5-2430M @ 2.40GHz,5841.6,2007,27.48,1244,17.04,35.0,2,PGA988B,Laptop
2097,Intel Core i7-620M @ 2.67GHz,9029.6,1999,17.71,1285,11.38,35.0,2,BGA 1288,Laptop
2098,AMD Opteron 2427,4400.0,1995,36.28,386,7.02,75.0,6,F (1207),Server
2101,Intel Pentium G3420 @ 3.20GHz,3996.0,1990,39.84,1805,36.14,54.0,2,LGA 1150,Desktop
2102,AMD Athlon X4 750 Quad Core,7580.0,1986,20.96,1338,14.12,65.0,4,FM2,Desktop
2103,Intel Core i3-2130 @ 3.40GHz,5372.0,1986,29.57,1557,23.19,65.0,2,LGA 1155,Desktop
