,driveName,type,diskCapacity,diskMark,rank,price,driveValue,priceperGB,testDate
2687,Intel SSD 535 360GB M.2,SSD,335.3,3855,2688,3999.2,77.12,0.15,2015
2699,PLEXTOR PX-512M6Pro,SSD,476.9,3850,2700,26399.2,11.67,0.69,2014
2701,SanDisk SD8SB8U-128G-1006,SSD,119.2,3846,2702,3246.4,94.77,0.34,2016
2706,OCZ Vertex 4 128GB,SSD,119.2,3842,2707,7999.2,38.42,0.84,2013
2708,ADATA SU900,SSD,238.5,3841,2709,6399.2,48.01,0.34,2017
2712,SanDisk X300 256GB,SSD,238.5,3838,2713,15984.8,19.21,0.84,2016
2714,OCZ-VECTOR180,SSD,223.6,3837,2715,71040.0,4.32,3.97,2015
2715,MTFDDAK1T0MBF,SSD,953.9,3837,2716,63584.8,4.83,0.83,2015
2719,NGFF 2280 128GB SSD,SSD,119.2,3835,2720,3575.2,85.81,0.37,2020
2723,Radeon R3 SSD R3SL240G,SSD,223.6,3831,2724,5199.2,58.95,0.29,2016
2726,Crucial CT960M500SSD1,SSD,894.3,3830,2727,52317.6,5.86,0.73,2013
2727,Samsung PM951 128GB NVMe,SSD,119.2,3829,2728,6513.6,47.02,0.68,2015
2730,Samsung SSD 850 EVO mSATA 120GB,SSD,111.8,3827,2731,5599.2,54.68,0.63,2015
2734,Patriot Blast 240GB,SSD,223.6,3825,2735,3119.2,98.09,0.17,2015
2735,PLEXTOR PX-256S2G,SSD,238.5,3824,2736,18660.0,16.39,0.98,2016
2741,Samsung SSD 850 EVO 120GB,SSD,111.8,3820,2742,10399.2,29.39,1.16,2014
2746,CT240BX300SSD1,SSD,223.6,3817,2747,2399.2,127.28,0.13,2017
2750,Transcend TS256GMTS430S,SSD,238.5,3812,2751,4799.2,63.55,0.25,2019
2754,OCZ Deneva 2 480GB D2CSTK251M11-0480,SSD,447.1,3808,2755,79999.2,3.81,2.24,2012
2755,ADATA Permier SP550 480GB,SSD,447.1,3807,2756,8400.0,36.26,0.23,2015
2759,SAMSUNG MZ7WD480HCGM-00003,SSD,447.1,3806,2760,24669.6,12.34,0.69,2015
2764,CT1000BX500SSD1,SSD,931.5,3801,2765,6399.2,47.52,0.09,2019
2783,Samsung SSD 860 EVO mSATA 500GB,SSD,465.8,3794,2784,15920.0,19.06,0.43,2018
2784,SanDisk SD8SN8U-128G-1006,SSD,119.2,3792,2785,4157.6,72.97,0.44,2016
2797,Crucial CT512MX100SSD1,SSD,476.9,3783,2798,26292.8,11.51,0.69,2014
2799,Transcend TS1TSSD370S,SSD,953.9,3781,2800,29904.0,10.11,0.39,2016
2801,Crucial CT480M500SSD1,SSD,447.1,3779,2802,3999.2,75.6,0.11,2013
2802,Samsung Portable SSD T5 1TB,SSD,931.5,3778,2803,7999.2,37.78,0.11,2018
2803,SAMSUNG MZFLV128HCGR-000MV,SSD,119.2,3777,2804,2156.0,140.16,0.23,2016
2825,SanDisk X300 MSATA 256GB,SSD,238.5,3766,2826,15999.2,18.83,0.84,2015
2827,Radeon R3 SSD R3SL120G,SSD,111.8,3763,2828,3199.2,94.1,0.36,2016
2829,SAMSUNG MZ7PD128HCFV-000H1,SSD,119.2,3763,2830,3840.0,78.39,0.4,2014
2843,PNY CS900 960GB SSD,SSD,894.3,3757,2844,7199.2,41.75,0.1,2018
2844,SAMSUNG MZNLN256HCHP-000H1,SSD,238.5,3757,2845,9176.0,32.75,0.48,2016
2856,GIGABYTE GP-GSTFS31100TNTD,SSD,953.9,3749,2857,9360.0,32.05,0.12,2019
2858,Mushkin Triactor 480GB MKNSSDTR480GB,SSD,447.1,3748,2859,5308.8,56.48,0.15,2016
2860,Samsung Portable SSD T5 500GB,SSD,465.8,3747,2861,5800.0,51.68,0.16,2017
2862,Intel SSD Pro 2500 180GB M.2,SSD,167.7,3745,2863,7120.0,42.08,0.53,2014
2864,Samsung SSD 850 120GB,SSD,111.8,3743,2865,4959.2,60.39,0.55,2018
2869,Micron M600 M.2 2280 512GB,SSD,476.9,3742,2870,28494.4,10.51,0.75,2016
2874,M.2 SSD 128GB,SSD,119.2,3738,2875,1919.2,155.83,0.2,2021
2881,"Intel SSD 530 240GB 2.5""",SSD,223.6,3735,2882,11999.2,24.9,0.67,2013
2883,Crucial CT2050MX300SSD1,SSD,1900.0,3735,2884,39200.0,7.62,0.26,2016
2884,Mushkin ECO3 480GB MKNSSDE3480GB,SSD,447.1,3735,2885,3120.0,95.76,0.09,2016
2889,PNY CS900 500GB SSD,SSD,465.8,3730,2890,5519.2,54.07,0.15,2020
2894,SanDisk X600 M.2 2280 128GB,SSD,119.2,3730,2895,3080.0,96.88,0.32,2018
2902,TOSHIBA KSG60ZMV256G,SSD,238.5,3726,2903,3239.2,92.02,0.17,2018
