,name,formFactor,power,fan,pin,GPUpin,price,link
39,Aerocool KCAS PLUS 1000GM V2,"ATX, 12V v2.4",1000 Вт,140мм,24+8+4+4 pin,6х(6+2) pin,12400,https://www.citilink.ru/product/blok-pitaniya-aerocool-atx-1000w-kcas-plus-1000gm-v2-24-8-4-4pin-apfc-1699844/
40,DeepCool PF750,ATX,750 Вт,120мм,24+2x(4+4) pin,4х(6+2) pin,4320,https://www.citilink.ru/product/blok-pitaniya-deepcool-atx-750w-pf750-80-plus-white-20-4pin-apfc-120mm-1781866/
41,Thermaltake TR2 S,"ATX, 12V v2.3",600 Вт,120мм,24+4+4 pin,2х(6+2) pin,5200,https://www.citilink.ru/product/blok-pitaniya-thermaltake-tr2-s-600vt-120mm-chernyi-retail-ps-trs-0600-365399/
42,Aerocool ECO-450,"ATX, 12V v2.3",450 Вт,120мм,24+4 pin,6 pin,1800,https://www.citilink.ru/product/blok-pitaniya-aerocool-eco-450-450vt-120mm-seryi-retail-1144283/
43,Formula Formula-AP600-80,ATX,600 Вт,120мм,24+4+4 pin,2х(6+2) pin,5200,https://www.citilink.ru/product/blok-pitaniya-formula-formula-ap600-80-600vt-120mm-chernyi-retail-1179260/
44,Aerocool KCAS PLUS GOLD 750W RGB,"ATX, 12V v2.52",750 Вт,120мм,24+2x(4+4) pin,3х(6+2) pin,7990,https://www.citilink.ru/product/blok-pitaniya-aerocool-kcas-plus-gold-750w-rgb-750vt-120mm-retail-acpg-1440795/
45,DeepCool PQ1000M,ATX,1000 Вт,120мм,20+4 pin,3х(6+2) pin,14410,https://www.citilink.ru/product/blok-pitaniya-deepcool-atx-1000w-pq1000m-80-gold-20-4pin-apfc-120mm-fa-1781578/
46,DeepCool PF550,"ATX, 12V v2.4",550 Вт,120мм,20+4 pin,2х(6+2) pin,3470,https://www.citilink.ru/product/blok-pitaniya-deepcool-atx-550w-pf550-80-plus-white-20-4pin-apfc-120mm-1781872/
47,Aerocool AERO WHITE,"ATX, 12V v2.4",600 Вт,120мм,24+4+4 pin,2х(6+2) pin,4390,https://www.citilink.ru/product/blok-pitaniya-aerocool-aero-white-600vt-120mm-chernyi-retail-aero-whit-1207079/
48,DeepCool PF600,"ATX, 12V v2.4",600 Вт,120мм,24+2x(4+4) pin,4х(6+2) pin,3990,https://www.citilink.ru/product/blok-pitaniya-deepcool-atx-600w-pf600-80-plus-white-20-4pin-apfc-120mm-1781871/
49,Zalman ZM600-LXII,"ATX, 12V v2.3",600 Вт,120мм,24+4+4 pin,2х(6+2) pin,4680,https://www.citilink.ru/product/blok-pitaniya-zalman-atx-600w-zm600-lxii-24-4-4pin-apfc-120mm-fan-6xsa-1775089/
50,Thermaltake TR2 S,"ATX, 12V v2.3",500 Вт,120мм,24+4+4 pin,2х(6+2) pin,4940,https://www.citilink.ru/product/blok-pitaniya-thermaltake-tr2-s-500vt-120mm-chernyi-retail-ps-trs-0500-365392/
51,DeepCool PF450,"ATX, 12V v2.4",450 Вт,120мм,24+4+4 pin,2х(6+2) pin,3410,https://www.citilink.ru/product/blok-pitaniya-deepcool-atx-450w-pf450-80-plus-white-20-4pin-apfc-120mm-1781886/
52,DeepCool PM800D,"ATX, 12V v2.4",800 Вт,120мм,20+4 pin,3х(6+2) pin,7790,https://www.citilink.ru/product/blok-pitaniya-deepcool-atx-800w-pm800d-80-gold-20-4pin-apfc-120mm-fan-1781790/
53,Aerocool SX-400,SFX,400 Вт,80мм,24+4+4 pin,отсутствует,2190,https://www.citilink.ru/product/blok-pitaniya-aerocool-sx-400-400vt-80mm-chernyi-retail-388484/
54,Aerocool ECO-400,"ATX, 12V v2.3",400 Вт,120мм,24+4 pin,6 pin,1690,https://www.citilink.ru/product/blok-pitaniya-aerocool-eco-400-400vt-120mm-retail-1127630/
