,gpuName,G3Dmark,G2Dmark,price,gpuValue,TDP,testDate,category
850,Quadro 3000M,1024,323,69.99,14.63,75.0,2011,Workstation
860,Radeon HD 6750,1005,304,79.99,12.57,86.0,2011,Desktop
869,Radeon HD 8570,991,308,98.68,10.04,66.0,2013,Desktop
870,Quadro 2000D,989,324,140.0,7.06,,2011,Unknown
877,Quadro FX 4800,979,106,204.0,4.8,150.0,2012,Workstation
881,FirePro V4900,974,318,149.99,6.5,75.0,2012,Workstation
896,Radeon HD 4850,953,110,378.0,2.52,110.0,2012,Desktop
901,Quadro CX,947,454,149.95,6.32,,2009,Unknown
908,Quadro 2000,942,294,213.23,4.42,62.0,2010,Workstation
910,Radeon R7 A12-9800E RADEON,941,257,139.19,6.76,,2017,Unknown
912,Radeon R5 430,939,313,59.0,15.92,,2017,Unknown
915,Radeon R7 PRO A10-9700E,933,234,529.0,1.76,,2017,Unknown
928,Radeon R7 M445,913,182,744.0,1.23,,2017,Unknown
935,Radeon HD 4770,906,172,59.99,15.1,80.0,2011,Desktop
936,Barco MXRT 7400,901,682,99.0,9.1,,2013,Unknown
938,Barco MXRT 2600,900,649,199.0,4.52,,2018,Unknown
942,FirePro W2100,890,327,59.0,15.09,26.0,2014,Workstation
944,Radeon Vega 3,889,309,2677.99,0.33,,2018,Unknown
953,Radeon E6760,877,485,239.99,3.65,,2012,Unknown
963,Radeon R7 240,863,258,109.99,7.84,30.0,2013,Desktop
965,Radeon HD 4830,860,81,59.99,14.34,95.0,2012,Desktop
968,FirePro 3D V4800,854,324,159.99,5.33,69.0,2010,Workstation
972,GeForce GT 635,852,242,66.94,12.73,,2013,Unknown
982,Radeon 520,833,216,89.99,9.26,,2017,Unknown
988,3DP Edition,827,931,1159.99,0.71,,2018,Unknown
1000,GeForce GT 730,812,238,109.99,7.38,49.0,2014,Desktop
1002,GRID K1,811,463,395.0,2.05,,2013,Workstation
1007,GeForce 9800 GX2,798,518,195.0,4.09,197.0,2009,Desktop
1013,Radeon HD 5670,784,279,67.0,11.71,64.0,2012,Desktop
1018,Quadro FX 3800,780,100,259.13,3.01,108.0,2009,Workstation
1024,Quadro K420,775,280,269.0,2.88,41.0,2014,Workstation
1027,GeForce GT 340,774,469,52.99,14.62,69.0,2011,Desktop
1029,Quadro 2000M,773,249,229.74,3.37,55.0,2012,Workstation
1030,Quadro K1000M,773,244,69.95,11.05,45.0,2012,Workstation
1038,GeForce 9800 GTX,769,366,74.99,10.26,140.0,2009,Desktop
1039,Quadro K600,769,263,60.24,12.77,41.0,2013,Workstation
1041,GeForce GT 440,766,238,225.0,3.4,65.0,2010,Desktop
1048,Radeon R7 A12-9720P RADEON,759,186,365.48,2.08,,2017,Unknown
1067,Radeon HD 6670,745,236,68.99,10.8,66.0,2012,Desktop
1079,NVS 510,730,276,139.99,5.21,35.0,2012,Workstation
1083,Radeon R7 FX-9800P RADEON,727,197,530.0,1.37,,2016,Unknown
1102,Quadro K610M,708,239,240.0,2.95,30.0,2014,Workstation
1110,Radeon R7 A12-9700P RADEON,703,165,435.92,1.61,,2016,Unknown
