,cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,cores,socket,category,brnd
531,Intel Core i3-12100T,9760.0,12767,104.65,3412,27.96,35.0,4,LGA 1700,Desktop,Intel
532,AMD Ryzen 3 3300X,21599.2,12746,47.21,2689,9.96,65.0,4,AM4,Desktop,AMD
537,Intel Core i5-10400F @ 2.90GHz,9999.2,12439,99.52,2572,20.58,65.0,6,LGA 1200,Desktop,Intel
538,Intel Xeon W-2133 @ 3.60GHz,49360.0,12438,20.16,2274,3.68,140.0,6,LGA 2066,Server,Intel
545,Intel Core i5-10400 @ 2.90GHz,11999.2,12320,82.14,2587,17.25,65.0,6,LGA 1200,Desktop,Intel
546,AMD Ryzen 5 1600,12785.6,12314,77.05,2074,12.98,65.0,6,AM4,Desktop,AMD
570,AMD Ryzen 3 3100,11036.0,11660,84.52,2427,17.59,65.0,4,AM4,Desktop,AMD
580,Intel Core i5-10600T @ 2.40GHz,17040.0,11376,53.41,2422,11.37,35.0,6,LGA 1200,Desktop,Intel
608,Intel Xeon W-2225 @ 4.10GHz,41040.0,10844,21.14,2667,5.2,105.0,4,LGA 2066,Server,Intel
635,Intel Core i5-10500T @ 2.30GHz,15360.0,10365,53.98,2342,12.2,35.0,6,LGA 1200,Desktop,Intel
640,Intel Core i3-10325 @ 3.90GHz,12320.0,10308,66.94,2890,18.77,65.0,4,LGA 1200,Desktop,Intel
651,Intel Core i3-10320 @ 3.80GHz,10716.0,10115,75.51,2848,21.26,65.0,4,LGA 1200,Desktop,Intel
655,Intel Core i5-10400T @ 2.00GHz,14560.0,10052,55.23,2168,11.91,35.0,6,LGA 1200,Desktop,Intel
657,Intel Xeon W-2125 @ 4.00GHz,79916.0,10039,10.05,2599,2.6,120.0,4,LGA 2066,Server,Intel
660,Intel Core i5-10500TE @ 2.30GHz,15600.0,9960,51.08,2145,11.0,35.0,6,LGA 1200,"Laptop, Mobile/Embedded",Intel
665,Intel Core i7-7740X @ 4.30GHz,18079.2,9864,43.65,2805,12.41,112.0,4,LGA 2066,Desktop,Intel
675,Intel Core i3-10305 @ 3.80GHz,12799.2,9689,60.56,2834,17.71,65.0,4,LGA 1200,Desktop,Intel
694,AMD Ryzen 5 3400G,18240.0,9331,40.93,2360,10.35,65.0,4,AM4,Desktop,AMD
699,Intel Core i3-10300 @ 3.70GHz,11119.2,9284,66.79,2677,19.26,65.0,4,LGA 1200,Desktop,Intel
711,Intel Core i3-10105F @ 3.70GHz,6319.2,9141,115.72,2675,33.86,65.0,4,LGA 1200,Desktop,Intel
715,AMD Ryzen 5 1500X,9628.8,9083,75.47,2110,17.53,65.0,4,AM4,Desktop,AMD
723,Intel Core i3-10105 @ 3.70GHz,8560.0,8928,83.44,2718,25.4,65.0,4,LGA 1200,Desktop,Intel
728,Intel Core i3-10100F @ 3.60GHz,6399.2,8854,110.69,2604,32.56,65.0,4,LGA 1200,Desktop,Intel
